GEO_ID,NAME,S2201_C01_001E
37001,"Alamance County, North Carolina",65455
37003,"Alexander County, North Carolina",14049
37005,"Alleghany County, North Carolina",5001
37007,"Anson County, North Carolina",9803
37009,"Ashe County, North Carolina",11885
37011,"Avery County, North Carolina",6569
37013,"Beaufort County, North Carolina",20219
37015,"Bertie County, North Carolina",8008
37017,"Bladen County, North Carolina",13394
37019,"Brunswick County, North Carolina",59416
37021,"Buncombe County, North Carolina",105177
37023,"Burke County, North Carolina",35664
37025,"Cabarrus County, North Carolina",72843
37027,"Caldwell County, North Carolina",32798
37029,"Camden County, North Carolina",3912
37031,"Carteret County, North Carolina",30060
37033,"Caswell County, North Carolina",8993
37035,"Catawba County, North Carolina",62940
37037,"Chatham County, North Carolina",29904
37039,"Cherokee County, North Carolina",12546
37041,"Chowan County, North Carolina",6389
37043,"Clay County, North Carolina",5300
37045,"Cleveland County, North Carolina",36089
37047,"Columbus County, North Carolina",21545
37049,"Craven County, North Carolina",41002
37051,"Cumberland County, North Carolina",127532
37053,"Currituck County, North Carolina",10868
37055,"Dare County, North Carolina",15830
37057,"Davidson County, North Carolina",67555
37059,"Davie County, North Carolina",16303
37061,"Duplin County, North Carolina",21437
37063,"Durham County, North Carolina",130128
37065,"Edgecombe County, North Carolina",20800
37067,"Forsyth County, North Carolina",148890
37069,"Franklin County, North Carolina",25729
37071,"Gaston County, North Carolina",85286
37073,"Gates County, North Carolina",4690
37075,"Graham County, North Carolina",3521
37077,"Granville County, North Carolina",21567
37079,"Greene County, North Carolina",7218
37081,"Guilford County, North Carolina",208234
37083,"Halifax County, North Carolina",21061
37085,"Harnett County, North Carolina",46525
37087,"Haywood County, North Carolina",26891
37089,"Henderson County, North Carolina",49715
37091,"Hertford County, North Carolina",8903
37093,"Hoke County, North Carolina",18448
37095,"Hyde County, North Carolina",2056
37097,"Iredell County, North Carolina",68374
37099,"Jackson County, North Carolina",17008
37101,"Johnston County, North Carolina",71332
37103,"Jones County, North Carolina",4069
37105,"Lee County, North Carolina",22290
37107,"Lenoir County, North Carolina",23494
37109,"Lincoln County, North Carolina",33621
37111,"McDowell County, North Carolina",18275
37113,"Macon County, North Carolina",16062
37115,"Madison County, North Carolina",8373
37117,"Martin County, North Carolina",9622
37119,"Mecklenburg County, North Carolina",421950
37121,"Mitchell County, North Carolina",6402
37123,"Montgomery County, North Carolina",10265
37125,"Moore County, North Carolina",40575
37127,"Nash County, North Carolina",37371
37129,"New Hanover County, North Carolina",97998
37131,"Northampton County, North Carolina",8424
37133,"Onslow County, North Carolina",66131
37135,"Orange County, North Carolina",53222
37137,"Pamlico County, North Carolina",5506
37139,"Pasquotank County, North Carolina",14785
37141,"Pender County, North Carolina",22812
37143,"Perquimans County, North Carolina",5886
37145,"Person County, North Carolina",16153
37147,"Pitt County, North Carolina",70683
37149,"Polk County, North Carolina",9252
37151,"Randolph County, North Carolina",56790
37153,"Richmond County, North Carolina",18201
37155,"Robeson County, North Carolina",45881
37157,"Rockingham County, North Carolina",38532
37159,"Rowan County, North Carolina",54137
37161,"Rutherford County, North Carolina",27525
37163,"Sampson County, North Carolina",23162
37165,"Scotland County, North Carolina",12951
37167,"Stanly County, North Carolina",23849
37169,"Stokes County, North Carolina",19608
37171,"Surry County, North Carolina",29001
37173,"Swain County, North Carolina",5741
37175,"Transylvania County, North Carolina",14648
37177,"Tyrrell County, North Carolina",1652
37179,"Union County, North Carolina",77791
37181,"Vance County, North Carolina",16895
37183,"Wake County, North Carolina",410552
37185,"Warren County, North Carolina",8122
37187,"Washington County, North Carolina",5237
37189,"Watauga County, North Carolina",21453
37191,"Wayne County, North Carolina",48198
37193,"Wilkes County, North Carolina",28902
37195,"Wilson County, North Carolina",31968
37197,"Yadkin County, North Carolina",15247
37199,"Yancey County, North Carolina",7466
0100000US,United States,122354219
0400000US37,North Carolina,4031592